title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Pete,,Aguilar,,,D,CA,31,True,M,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,70114,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,1979-06-19,Rep.Aguilar@opencongress.org
Rep,Brendan,,Boyle,,,D,PA,13,True,M,202-225-6111,202-226-0611,https://boyle.house.gov,,1133 Longworth House Office Building,B001296,47357,H4PA13199,412652,N00035307,CongBoyle,,,CongressmanBoyle,,,1977-02-06,Rep.Boyle@opencongress.org
Rep,Nanette,,Barragán,,,D,CA,44,True,F,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,166270,H6CA44103,412687,N00037019,RepBarragan,,,CongresswomanBarragan,,,1976-09-15,Rep.Barragan@opencongress.org
Rep,André,,Carson,,,D,IN,7,True,M,202-225-4011,202-225-5633,https://carson.house.gov,,2135 Rayburn House Office Building,C001072,84917,H8IN07184,412258,N00029513,RepAndreCarson,http://www.opencongress.org/wiki/Andre_Carson,http://youtube.com/repandrecarson,CongressmanAndreCarson,,,1974-10-16,Rep.Carson@opencongress.org
Rep,Joaquin,,Castro,,,D,TX,20,True,M,202-225-3236,202-225-1915,https://castro.house.gov,,1221 Longworth House Office Building,C001091,49227,H2TX35011,412576,N00033316,JoaquinCastrotx,,http://youtube.com/JoaquinCastroTX,326420614138023,,,1974-09-16,Rep.Castro@opencongress.org
Sen,Carte,P.,Goodwin,,,D,WV,Junior Seat,False,M,,,,,,G000561,126202,,412389,N00032762,,http://www.opencongress.org/wiki/Carte_Goodwin,,,,I,1974-02-27,
Rep,Tulsi,,Gabbard,,,D,HI,2,True,F,202-225-4906,202-225-4987,https://gabbard.house.gov,,1433 Longworth House Office Building,G000571,129306,H2HI02508,412532,N00033281,TulsiPress,,http://youtube.com/tulsipress,RepTulsiGabbard,,,1981-04-12,Rep.Gabbard@opencongress.org
Rep,Ruben,,Gallego,,,D,AZ,7,True,M,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,123732,H4AZ07043,412612,N00036097,RepRubenGallego,,,RepRubenGallego,,,1979-11-20,Rep.Rubengallego@opencongress.org
Rep,Josh,,Gottheimer,,,D,NJ,5,True,M,202-225-4465,,https://gottheimer.house.gov,,213 Cannon House Office Building,G000583,169202,H6NJ05171,412714,N00036944,RepJoshG,,,RepJoshG,,,1975-03-08,Rep.Gottheimer@opencongress.org
Rep,Jimmy,,Gomez,,,D,CA,34,True,M,202-225-6235,,https://gomez.house.gov,,1226 Longworth House Office Building,G000585,138524,H8CA34266,412739,N00040597,RepJimmyGomez,,,RepJimmyGomez,,,1974-11-25,Rep.Gomez@opencongress.org
